Filename;submissive_inferior_ronald.wav
Original text;Presenting himself as submissive inferior the Roman ruler hailed the shah assupreme emperor. Khushraw listened carefully to what the envoys had to say,then he had them executed
Recognized text;presenting himself a submissive inferior the Roman ruler held the shot Supreme emperor crucial listen carefully to what the invoice how to say that you have them executed
Confidence;87.49%
Time needed (seconds);3.81
Real time factor;0.24
Word correct rate;0.61
Word error rate;0.39
Recall;0.61
Precision;0.61
F-Score;0.61
