Filename;submissive_inferior_gustav.wav
Original text;Presenting himself as submissive inferior the Roman ruler hailed the shah assupreme emperor. Khushraw listened carefully to what the envoys had to say,then he had them executed
Recognized text;something itself as a submissive in fear the Roman ruler hail the Shah Supreme Emperor cost real listen carefully to what the invoice at had to say that I take them executed
Confidence;86.15%
Time needed (seconds);5.06
Real time factor;0.37
Word correct rate;0.04
Word error rate;0.96
Recall;0.61
Precision;0.53
F-Score;0.57
